trial,testing,parameters,net_reward,age,success
1,False,"{'a': 0.3, 'e': 0.3}",-0.49999999999999994,10,0
2,False,"{'a': 0.3, 'e': 0.09}",0.7,7,1
3,False,"{'a': 0.3, 'e': 0.026999999999999996}",1.0,1,1
4,False,"{'a': 0.3, 'e': 0.0081}",0.95,2,1
5,False,"{'a': 0.3, 'e': 0.0024299999999999994}",1.0,1,1
6,False,"{'a': 0.3, 'e': 0.0007289999999999998}",1.0,1,1
7,False,"{'a': 0.3, 'e': 0.00021869999999999995}",-0.49999999999999994,10,0
8,False,"{'a': 0.3, 'e': 6.560999999999998e-05}",0.7,7,1
9,False,"{'a': 0.3, 'e': 1.9682999999999994e-05}",-0.49999999999999994,10,0
10,False,"{'a': 0.3, 'e': 5.904899999999998e-06}",1.0,1,1
11,False,"{'a': 0.3, 'e': 1.7714699999999993e-06}",-0.49999999999999994,10,0
12,False,"{'a': 0.3, 'e': 5.314409999999998e-07}",1.0,1,1
13,False,"{'a': 0.3, 'e': 1.5943229999999992e-07}",1.0,1,1
14,False,"{'a': 0.3, 'e': 4.782968999999997e-08}",-0.49999999999999994,10,0
15,False,"{'a': 0.3, 'e': 1.4348906999999992e-08}",1.0,1,1
16,False,"{'a': 0.3, 'e': 4.3046720999999976e-09}",-0.49999999999999994,10,0
17,False,"{'a': 0.3, 'e': 1.291401629999999e-09}",-0.49999999999999994,10,0
18,False,"{'a': 0.3, 'e': 3.8742048899999975e-10}",-0.49999999999999994,10,0
19,False,"{'a': 0.3, 'e': 1.1622614669999992e-10}",1.0,1,1
20,False,"{'a': 0.3, 'e': 3.4867844009999975e-11}",1.0,1,1
1,True,"{'a': 0.3, 'e': 1.0460353202999992e-11}",0.95,2,1
2,True,"{'a': 0.3, 'e': 3.1381059608999976e-12}",0.95,2,1
3,True,"{'a': 0.3, 'e': 9.414317882699991e-13}",-0.49999999999999994,10,0
4,True,"{'a': 0.3, 'e': 2.8242953648099974e-13}",0.95,2,1
5,True,"{'a': 0.3, 'e': 8.472886094429993e-14}",1.0,1,1
6,True,"{'a': 0.3, 'e': 2.5418658283289975e-14}",-0.49999999999999994,10,0
7,True,"{'a': 0.3, 'e': 7.625597484986993e-15}",0.95,2,1
8,True,"{'a': 0.3, 'e': 2.2876792454960975e-15}",-0.49999999999999994,10,0
9,True,"{'a': 0.3, 'e': 6.863037736488293e-16}",1.0,1,1
10,True,"{'a': 0.3, 'e': 2.0589113209464878e-16}",0.95,2,1
