trial,testing,parameters,net_reward,age,success
1,False,"{'a': 0.3, 'e': 0.9499}",1.0,2,True
2,False,"{'a': 0.3, 'e': 0.8998999999999999}",0.0,10,0
3,False,"{'a': 0.3, 'e': 0.8498999999999999}",1.0,5,True
4,False,"{'a': 0.3, 'e': 0.7998999999999998}",1.0,5,True
5,False,"{'a': 0.3, 'e': 0.7498999999999998}",1.0,1,True
6,False,"{'a': 0.3, 'e': 0.6998999999999997}",1.0,4,True
7,False,"{'a': 0.3, 'e': 0.6498999999999997}",1.0,1,True
8,False,"{'a': 0.3, 'e': 0.5998999999999997}",1.0,1,True
9,False,"{'a': 0.3, 'e': 0.5498999999999996}",1.0,3,True
10,False,"{'a': 0.3, 'e': 0.4998999999999996}",1.0,1,True
11,False,"{'a': 0.3, 'e': 0.44989999999999963}",1.0,3,True
12,False,"{'a': 0.3, 'e': 0.39989999999999964}",1.0,5,True
13,False,"{'a': 0.3, 'e': 0.34989999999999966}",1.0,3,True
14,False,"{'a': 0.3, 'e': 0.29989999999999967}",1.0,1,True
15,False,"{'a': 0.3, 'e': 0.24989999999999968}",1.0,1,True
16,False,"{'a': 0.3, 'e': 0.1998999999999997}",1.0,6,True
17,False,"{'a': 0.3, 'e': 0.1498999999999997}",1.0,3,True
18,False,"{'a': 0.3, 'e': 0.0998999999999997}",0.0,10,0
19,False,"{'a': 0.3, 'e': 0.049899999999999695}",1.0,1,True
20,False,"{'a': 0.3, 'e': -0.00010000000000030818}",0.0,10,0
1,True,"{'a': 0.0, 'e': 0.0}",1.0,1,True
2,True,"{'a': 0.0, 'e': 0.0}",0.0,10,0
3,True,"{'a': 0.0, 'e': 0.0}",1.0,1,True
4,True,"{'a': 0.0, 'e': 0.0}",1.0,2,True
5,True,"{'a': 0.0, 'e': 0.0}",0.0,10,0
6,True,"{'a': 0.0, 'e': 0.0}",1.0,2,True
7,True,"{'a': 0.0, 'e': 0.0}",0.0,10,0
8,True,"{'a': 0.0, 'e': 0.0}",0.0,10,0
9,True,"{'a': 0.0, 'e': 0.0}",1.0,1,True
10,True,"{'a': 0.0, 'e': 0.0}",1.0,2,True
